ID,GROUP,Occation,"Task (1-crowd, 2-forrest, 3-journey, 4- entrance)",FFS,Flu,Abs,DynF,IMP,Type (1-imagery; 2-senses awareness),Group,"Year (1-fist,2-third,3-professionals)",Empathy,Creativity,EmpathyItem,GroupFlow
41,4,1,1,56,32,24,0.5,5,1,4,2,49,4,3.06,0.262304251
41,4,2,2,60,34,26,0.48,6,1,4,2,49,5,3.06,0.370573871
41,4,3,3,59,34,25,0.91,7,0,4,2,49,6,3.06,0.391363023
41,4,4,4,64,39,25,0.96,8,0,4,2,49,7,3.06,0.682476943
42,4,1,1,55,30,25,0.53,9,1,4,2,49,6,3.06,0.262304251
42,4,2,2,61,37,24,0.7,8,1,4,2,49,6,3.06,0.370573871
42,4,3,3,56,35,21,0.69,6,0,4,2,49,7,3.06,0.391363023
42,4,4,4,51,30,21,0.97,7,0,4,2,49,7,3.06,0.682476943
43,4,1,1,48,29,19,0.53,14,1,4,2,42,5,2.63,0.262304251
43,4,2,2,43,25,18,0.63,15,1,4,2,42,5,2.63,0.370573871
43,4,3,3,55,35,20,0.49,10,0,4,2,42,6,2.63,0.391363023
43,4,4,4,50,30,20,0.59,11,0,4,2,42,5,2.63,0.682476943
44,4,1,1,48,27,21,0.4,5,1,4,2,38,3,2.38,0.262304251
44,4,2,2,54,33,21,0.59,4,1,4,2,38,6,2.38,0.370573871
44,4,3,3,49,31,18,0.36,3,0,4,2,38,4,2.38,0.391363023
44,4,4,4,54,34,20,0.75,4,0,4,2,38,5,2.38,0.682476943
51,5,1,3,55,37,18,0.41,9,0,5,2,49,7,3.06,0.092514124
51,5,2,4,47,26,21,0.46,12,0,5,2,49,5,3.06,0.197337963
51,5,3,1,54,32,22,0.29,11,1,5,2,49,6,3.06,0.24829932
51,5,4,2,62,37,25,0.63,10,1,5,2,49,7,3.06,0.354817708
52,5,1,3,47,25,22,0.11,5,0,5,2,45,6,2.81,0.092514124
52,5,2,4,48,27,21,0.42,6,0,5,2,45,4,2.81,0.197337963
52,5,3,1,63,37,26,0.33,5,1,5,2,45,7,2.81,0.24829932
52,5,4,2,56,34,22,0.43,6,1,5,2,45,6,2.81,0.354817708
53,5,1,3,45,29,16,0.53,5,0,5,2,44,6,2.75,0.092514124
53,5,2,4,40,23,17,0.55,5,0,5,2,44,5,2.75,0.197337963
53,5,3,1,48,27,21,0.69,5,1,5,2,44,4,2.75,0.24829932
53,5,4,2,45,28,17,0.64,5,1,5,2,44,7,2.75,0.354817708
54,5,1,3,53,27,26,0.2,9,0,5,2,55,5,3.44,0.092514124
54,5,2,4,29,12,17,0.31,11,0,5,2,55,2,3.44,0.197337963
54,5,3,1,47,26,21,0.59,11,1,5,2,55,7,3.44,0.24829932
54,5,4,2,40,18,22,0.5,10,1,5,2,55,6,3.44,0.354817708
61,6,1,2,62,37,25,0.66,4,1,6,1,40,7,2.5,0.179775281
61,6,2,1,54,29,25,0.7,5,1,6,1,40,4,2.5,0.399875622
61,6,3,4,64,39,25,0.69,4,0,6,1,40,7,2.5,0.35408805
61,6,4,3,62,37,25,0.44,3,0,6,1,40,7,2.5,0.606410256
62,6,1,2,55,30,25,0.3,6,1,6,1,37,3,2.31,0.179775281
62,6,2,1,58,32,26,0.61,6,1,6,1,37,5,2.31,0.399875622
62,6,3,4,56,32,24,0.55,5,0,6,1,37,6,2.31,0.35408805
62,6,4,3,55,33,22,0.67,7,0,6,1,37,7,2.31,0.606410256
63,6,1,2,37,18,19,0.21,7,1,6,1,43,5,2.69,0.179775281
63,6,2,1,50,28,22,0.54,6,1,6,1,43,4,2.69,0.399875622
63,6,3,4,57,33,24,0.51,6,0,6,1,43,6,2.69,0.35408805
63,6,4,3,65,37,28,0.77,7,0,6,1,43,6,2.69,0.606410256
64,6,1,2,52,33,19,0.62,6,1,6,1,35,4,2.19,0.179775281
64,6,2,1,45,30,15,0.61,8,1,6,1,35,3,2.19,0.399875622
64,6,3,4,43,29,14,0.43,9,0,6,1,35,4,2.19,0.35408805
64,6,4,3,46,28,18,0.88,7,0,6,1,35,5,2.19,0.606410256
71,7,1,4,50,28,22,0.56,9,0,7,1,39,4,2.44,0.222454672
71,7,2,3,56,36,20,0.54,9,0,7,1,39,5,2.44,0.263945578
71,7,3,2,38,19,19,0.55,7,1,7,1,39,4,2.44,0.219917012
71,7,4,1,54,34,20,0.4,9,1,7,1,39,7,2.44,0.183210784
72,7,1,4,36,18,18,0.37,7,0,7,1,44,5,2.75,0.222454672
72,7,2,3,38,19,19,0.46,5,0,7,1,44,2,2.75,0.263945578
72,7,3,2,50,27,23,0.45,7,1,7,1,44,6,2.75,0.219917012
72,7,4,1,55,31,24,0.49,6,1,7,1,44,7,2.75,0.183210784
73,7,1,4,19,12,7,0.17,4,0,7,1,45,2,2.81,0.222454672
73,7,2,3,48,28,20,0.46,6,0,7,1,45,3,2.81,0.263945578
73,7,3,2,25,15,10,0.36,6,1,7,1,45,5,2.81,0.219917012
73,7,4,1,51,30,21,0.3,5,1,7,1,45,7,2.81,0.183210784
74,7,1,4,46,26,20,0.47,6,0,7,1,42,4,2.63,0.222454672
74,7,2,3,49,31,18,0.57,8,0,7,1,42,4,2.63,0.263945578
74,7,3,2,45,24,21,0.4,6,1,7,1,42,5,2.63,0.219917012
74,7,4,1,40,19,21,0.52,7,1,7,1,42,7,2.63,0.183210784
81,8,1,1,52,29,23,0.23,6,1,8,3,48,2,3,0.087421384
81,8,2,2,35,25,10,0.32,5,1,8,3,48,3,3,0.175572519
81,8,3,3,44,26,18,0.41,4,0,8,3,48,5,3,0.220101781
81,8,4,4,56,34,22,0.29,4,0,8,3,48,7,3,0.19140625
82,8,1,1,51,28,23,0.21,9,1,8,3,47,5,2.94,0.087421384
82,8,2,2,68,40,28,0.48,5,1,8,3,47,6,2.94,0.175572519
82,8,3,3,55,32,23,0.46,7,0,8,3,47,6,2.94,0.220101781
82,8,4,4,51,30,21,0.33,6,0,8,3,47,6,2.94,0.19140625
83,8,1,1,42,24,18,0.1,12,1,8,3,50,6,3.13,0.087421384
83,8,2,2,44,25,19,0.17,10,1,8,3,50,5,3.13,0.175572519
83,8,3,3,52,34,18,0.27,11,0,8,3,50,6,3.13,0.220101781
83,8,4,4,46,23,23,0.1,8,0,8,3,50,6,3.13,0.19140625
84,8,1,1,58,34,24,0.56,9,1,8,3,49,7,3.06,0.087421384
84,8,2,2,64,39,25,0.87,5,1,8,3,49,7,3.06,0.175572519
84,8,3,3,65,40,25,0.49,5,0,8,3,49,6,3.06,0.220101781
84,8,4,4,60,35,25,0.56,7,0,8,3,49,6,3.06,0.19140625
